№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
329;КУЛЬТУРА И НАТУРА (KULTURA & NATURA );1161513050995;KULTURA I NATURA (KULTURA & NATURA );"""КУЛЬТУРА И НАТУРА"" (KULTURA & NATURA"")";10.02.2016;7,0;1513058424;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;Общественные организации;Собственность общественных объединений;Микропредприятия;0 - 5;;;;;"""left""";;684 000;;;;;;;;
330;КЬЮ ЭС КОНСТРАКШН, ООО;1137746303012;QS CONSTRUCTION, LLC;"ООО ""КЬЮ ЭС КОНСТРАКШН""";05.04.2013;10,0;7729737282;Строительство жилых и нежилых зданий;Общества с ограниченной ответственностью;Частная собственность;;1;1;;;;"""left""";;;;;;-733 000;-257 000;-857 000;-1 147 000;-1 192 000
331;КЭЛЛИ, ООО;1227700493008;KELLY, LLC;"ООО ""КЭЛЛИ""";15.08.2022;0,5;9727006178;Строительство жилых и нежилых зданий;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
332;КЭРИНГ СЕРВИС, ООО;1197746712195;KERING SERVIS, OOO;"ООО ""КЭРИНГ СЕРВИС""";05.12.2019;3,0;9705139537;Ремонт машин и оборудования;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;1;;1;"""left""";;;;12 848 000;14 990 000;;;;;73 000
333;Л ОКСИТАН РУС, ООО;1067746721239;L OKSITAN RUS, OOO;"ООО ""Л`ОКСИТАН РУС""";20.06.2006;16,5;7707591760;Торговля розничная косметическими и товарами личной гигиены в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Крупные предприятия;605;610;625;630;622;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";3 459 122 000;3 761 968 000;4 198 393 000;4 243 932 000;5 401 925 000;104 933 000;169 969 000;235 087 000;462 308 000;718 378 000
334;Л ОРЕАЛЬ, АО;1027700054986;L OREAL, AO;"АО ""Л'ОРЕАЛЬ""";18.05.1993;29,5;7726059896;Торговля оптовая парфюмерными и косметическими товарами;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""left""";50 258 139 000;53 978 187 000;61 324 510 000;56 204 738 000;64 463 768 000;9 783 947 000;7 310 270 000;11 112 205 000;6 732 526 000;9 352 203 000
335;ЛА ЛОРРЕН РУС, ООО;1157746745727;LA LORREN RUS, OOO;"ООО ""ЛА ЛОРРЕН РУС""";13.08.2015;7,5;7709465560;Торговля оптовая хлебобулочными изделиями;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Малые предприятия;3;5;13;16;20;"""left""";;70 627 000;130 372 000;490 130 000;905 878 000;-30 258 000;-19 956 000;-13 542 000;-133 863 000;-139 699 000
336;ЛАБОРАТОРИЯ ЛЕКСАНД, ООО;1037700160630;LABORATORIYA LEKSAND, OOO;"ООО ""ЛАБОРАТОРИЯ ""ЛЕКСАНД""";02.06.1992;30,5;7735036895;Деятельность агентов по оптовой торговле универсальным ассортиментом товаров;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;22;19;13;10;9;"""left""";147 184 000;77 293 000;79 456 000;76 700 000;52 344 000;-14 965 000;-59 414 000;3 759 000;-60 848 000;-1 466 000
337;ЛАНКСЕСС, ООО;1085257006295;LANKSESS, OOO;"ООО ""ЛАНКСЕСС""";26.08.2008;14,5;5257103825;Деятельность головных офисов;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;26;27;25;26;26;"""left""";;403 860 000;343 692 000;481 538 000;598 577 000;;55 222 000;-6 274 000;141 984 000;211 433 000
338;ЛАШ РАША, ООО;1037700056470;LUSH RUSSIA, LLC;"ООО ""ЛАШ РАША""";02.10.2001;21,5;7714229906;Торговля розничная косметическими и парфюмерными товарами, кроме мыла в специализированных магазинах;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Средние предприятия;583;575;463;412;422;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";1 278 780 000;1 296 562 000;1 320 057 000;1 164 238 000;1 550 207 000;69 890 000;50 783 000;60 496 000;46 430 000;112 821 000
339;ЛБПО, ООО;1136324008336;LBPO, OOO;"ООО ""ЛБПО""";06.09.2013;9,5;6324042026;Торговля оптовая химическими продуктами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;12;13;12;13;18;"""left""";599 123 000;921 061 000;990 172 000;780 241 000;1 549 733 000;48 254 000;88 453 000;103 525 000;82 834 000;274 207 000
340;ЛГ ЭЛЕКТРОНИКС РУС, ООО;1045011656084;LG ELEKTRONIKS RUS, OOO;"ООО ""ЛГ ЭЛЕКТРОНИКС РУС""";23.12.2004;18,0;5075018950;Производство бытовых электрических приборов;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Сервисы"", ""left""";76 190 361 000;81 828 000 000;81 210 206 000;95 197 808 000;119 790 836 000;6 799 860 000;10 015 557 000;6 746 495 000;9 720 777 000;8 483 912 000
341;ЛЕВИ ШТРАУСС МОСКВА, ООО;1087746970673;LEVI STRAUSS MOSCOW, LLC;"ООО ""ЛЕВИ ШТРАУСС МОСКВА""";12.08.2008;14,5;7707672105;Торговля розничная одеждой в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;597;610;667;603;574;"""left""";5 661 337 000;7 091 385 000;8 327 674 000;6 999 837 000;9 375 188 000;909 978 000;1 360 506 000;1 618 095 000;997 658 000;2 096 231 000
342;ЛЕГОР ГРУП РУССИЯ, ООО;5087746026011;LEGOR GRUP RUSSIYA, OOO;"ООО ""ЛЕГОР ГРУП РУССИЯ""";27.08.2008;14,5;7704698169;Торговля оптовая золотом и другими драгоценными металлами;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Малые предприятия;33;24;19;16;17;"""left""";133 778 000;156 319 000;196 318 000;247 612 000;474 968 000;2 899 000;10 333 000;34 821 000;57 338 000;108 035 000
343;ЛЕНОВО (ВОСТОЧНАЯ ЕВРОПА/АЗИЯ), ООО;1057746767055;LENOVO (EAST EUROPE/ASIA), LLC;"ООО ""ЛЕНОВО (ВОСТОЧНАЯ ЕВРОПА/АЗИЯ)""";25.04.2005;17,5;7703549291;Деятельность консультативная и работы в области компьютерных технологий;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;85;85;79;84;90;"""left""";1 442 745 000;1 219 931 000;1 300 574 000;1 256 568 000;1 617 380 000;32 958 000;51 815 000;18 883 000;74 883 000;60 769 000
344;ЛЕОНАРДО, ООО;1106672013942;LEONARDO, OOO;"ООО ""ЛЕОНАРДО""";08.09.2010;12,5;6672321038;Стоматологическая практика;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;7;9;8;7;7;"""left""";18 790 000;23 278 000;21 876 000;19 669 000;23 902 000;3 366 000;-4 318 000;3 316 000;893 000;1 354 000
345;ЛЕРУА МЕРЛЕН ВОСТОК, ООО;1035005516105;LERUA MERLEN VOSTOK, OOO;"ООО ""ЛЕРУА МЕРЛЕН ВОСТОК""";18.06.2003;19,5;5029069967;Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;> 5 000;> 5 000;;;;"""left""";226 687 249 000;275 795 662 000;311 467 070 000;347 162 833 000;456 631 733 000;7 438 949 000;5 463 514 000;10 891 392 000;7 543 007 000;44 719 162 000
346;ЛЕРУА МЕРЛЕН ЦИФРОВЫЕ ТЕХНОЛОГИИ, ООО;1227700631003;LEROY MERLIN DIGITAL TECHNOLOGIES, LLC;ООО «ЛЕРУА МЕРЛЕН ЦИФРОВЫЕ ТЕХНОЛОГИИ»;04.10.2022;0,5;9725097780;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
347;ЛЕСТА, ООО;1037816024883;LESTA, OOO;"ООО ""ЛЕСТА""";22.12.1995;27,0;7806038436;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Совместная частная и иностранная собственность;Крупные предприятия;377;462;529;;;"""СПАРК_Выборка_компаний_20200727_1624"", ""left""";1 046 869 000;1 536 923 000;1 676 228 000;2 348 337 000;3 002 036 000;77 980 000;130 930 000;146 258 000;187 805 000;264 079 000
348;ЛИЛЛИ ФАРМА, ООО;1037739728333;LILLI FARMA, OOO;"ООО ""ЛИЛЛИ ФАРМА""";19.05.1998;24,5;7702219484;Торговля оптовая фармацевтической продукцией;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;237;178;151;140;147;"""left""";5 075 134 000;5 076 268 000;7 032 513 000;9 600 866 000;13 967 025 000;231 397 000;177 525 000;173 771 000;-62 382 000;759 663 000
349;ЛИНГВИСТ, ООО;1161001062771;LINGVIST, OOO;"ООО ""ЛИНГВИСТ""";09.11.2016;6,0;1001315728;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;1;1;1;1;1;"""left""";30 765 000;46 172 000;41 711 000;28 080 000;45 135 000;859 000;1 410 000;1 201 000;979 000;271 000
350;ЛИНДЕ-ПРОМ, ООО;1220600002006;LINDE-PROM, LLC;"ООО ""ЛИНДЕ-ПРОМ""";19.05.2022;0,5;0600003490;Деятельность в области права;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
351;ЛИНДТ УНД ШПРЮНГЛИ (РАША), ООО;1127747199744;LINDT UND SHPRYUNGLI (RASHA), OOO;"ООО ""ЛИНДТ УНД ШПРЮНГЛИ (РАША)""";30.11.2012;10,0;7743871709;Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;66;74;84;87;88;"""left""";1 691 624 000;2 199 232 000;2 724 759 000;2 680 720 000;3 109 698 000;-34 454 000;37 639 000;109 074 000;-19 418 000;124 719 000
352;ЛИНДТ, ООО;1132311002999;LINDT, OOO;"ООО ""ЛИНДТ""";21.02.2013;10,0;2311154744;Строительство жилых и нежилых зданий;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
353;ЛИПТОН, ООО;1023402007760;LIPTON, OOO;"ООО ""ЛИПТОН""";26.10.1998;24,0;3435038220;Торговля розничная незамороженными продуктами, включая напитки и табачные изделия, в неспециализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;2;2;2;2;2;"""left""";896 000;1 372 000;1 332 000;1 049 000;996 000;76 000;117 000;99 000;78 000;16 000
354;ЛИР, ООО;1025202269982;LIR, OOO;"ООО ""ЛИР""";28.05.1998;24,5;5256029449;Производство прочих комплектующих и принадлежностей для автотранспортных средств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;771;652;;;"""Сервисы"", ""left""";6 958 102 000;9 954 629 000;9 806 456 000;8 055 092 000;10 486 228 000;741 559 000;1 088 315 000;936 957 000;1 146 889 000;897 774 000
355;ЛИТНЕТ, ООО;1227700355563;LITNET, OOO;"ООО ""ЛИТНЕТ""";20.06.2022;0,5;9704145094;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
356;ЛОГИС, ООО;1047796821995;LOGIS, OOO;"ООО ""ЛОГИС""";28.10.2004;18,0;7717519593;Консультирование по вопросам коммерческой деятельности и управления;Общества с ограниченной ответственностью;Частная собственность;;1;1;1;;;"""left""";165 000;;;;;-13 000;-2 000;;;
357;ЛОГИТЕХ, ООО;1227800056483;LOGITECH, LLC;"ООО ""ЛОГИТЕХ""";05.05.2022;0,5;7805792418;Торговля оптовая станками;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;;"""left""";;;;;;;;;;
358;ЛОТОСЪ, ООО ФИРМА;1027739237206;LOTOS, OOO FIRMA;"ООО ФИРМА ""ЛОТОСЪ""";20.10.1992;30,5;7721026015;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;Общества с ограниченной ответственностью;Частная собственность;;1;;;;;"""left""";1 099 000;;;;;-21 515 000;;;;
359;ЛПП ФАРМ, ООО;1026700668796;LPP FARM, OOO;"ООО ""ЛПП ФАРМ""";24.10.2000;22,0;6714017522;Производство вязаных и трикотажных чулочно-носочных изделий;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;79;76;70;61;53;"""Сервисы"", ""left""";129 018 000;119 239 000;102 931 000;96 805 000;106 911 000;3 102 000;427 000;-298 000;-2 112 000;3 264 000
360;ЛУИ ВЮИТТОН ВОСТОК, ООО;1027739376433;LUI VYUITTON VOSTOK, OOO;"ООО ""ЛУИ ВЮИТТОН ВОСТОК""";10.05.2001;21,5;7710378784;Торговля розничная обувью и изделиями из кожи в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;101 - 150;148;174;180;175;"""left""";7 027 066 000;9 360 543 000;11 656 005 000;12 407 704 000;17 258 348 000;784 495 000;1 253 140 000;1 638 584 000;2 433 545 000;3 860 769 000
361;ЛХБ РУС, ООО;1225000005670;LHB RUS, LLC;"ООО ""ЛХБ РУС""";26.01.2022;1,0;5044124130;Производство машин и оборудования для добычи полезных ископаемых и строительства;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
362;ЛЭКСИСНЭКСИС, ООО;5087746564648;LEKSISNEKSIS, OOO;"ООО ""ЛЭКСИСНЭКСИС""";08.12.2008;14,0;7703681123;Деятельность по созданию и использованию баз данных и информационных ресурсов;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;7;8;8;8;9;"""left""";90 981 000;123 560 000;133 315 000;148 668 000;169 322 000;14 740 000;23 991 000;27 902 000;-10 047 000;65 361 000
363;ЛЮКСОТТИКА РУС, ООО;1137746541481;LYUKSOTTIKA RUS, OOO;"ООО ""ЛЮКСОТТИКА РУС""";25.06.2013;9,5;7743892963;Торговля оптовая фототоварами и оптическими товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;43;42;46;45;53;"""left""";1 554 292 000;1 689 649 000;2 216 594 000;2 059 012 000;3 614 984 000;112 333 000;175 153 000;287 073 000;179 085 000;300 275 000
364;ЛЮКСОФТ ЭСТЕЙТ, КИЗ;1045013501862;LYUKSOFT ESTEIT, KIZ;"КИЗ ""ЛЮКСОФТ ЭСТЕЙТ""";28.12.2004;18,0;5010031261;Покупка и продажа собственного недвижимого имущества;Жилищные или жилищно-строительные кооперативы;Частная собственность;;;;;;;"""left""";;;;;;-13 000;-35 000;;;
365;ЛЮФТГАНЗА ТЕХНИК ВОСТОК СЕРВИСЕЗ, ООО;1075009004047;LYUFTGANZA TEKHNIK VOSTOK SERVISEZ, OOO;"ООО ""ЛЮФТГАНЗА ТЕХНИК ВОСТОК СЕРВИСЕЗ""";13.09.2007;15,5;5009059872;Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;31;31;35;35;37;"""left""";86 933 000;;124 653 000;118 388 000;118 594 000;14 382 000;;9 392 000;28 454 000;3 603 000
366;МАВЕНИР, ООО;1037701927340;MAVENIR, OOO;"ООО ""МАВЕНИР""";02.09.2003;19,5;7701345662;Деятельность агентов по оптовой торговле универсальным ассортиментом товаров;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;2;5;5;5;5;"""left""";4 747 000;96 934 000;27 497 000;74 656 000;29 131 000;-3 438 000;3 584 000;1 309 000;3 564 000;1 386 000
367;МАГНА, ООО;1077444010302;MAGNA, OOO;"ООО ""МАГНА""";07.11.2007;15,0;7444055452;Деятельность автомобильного грузового транспорта;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;387;471;487;423;377;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";1 363 818 000;1 641 859 000;1 736 572 000;1 612 399 000;1 929 178 000;64 421 000;-61 661 000;-18 617 000;-63 733 000;35 478 000
368;МАЗДА МОТОР РУС, ООО;1057749650012;MAZDA MOTOR RUS, OOO;"ООО ""МАЗДА МОТОР РУС""";22.12.2005;17,0;7743580770;Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;51 - 100;51 - 100;;;;"""left"", ""Авто_Москва""";36 447 225 000;49 432 780 000;56 471 345 000;43 231 087 000;;1 811 628 000;3 023 997 000;1 095 570 000;2 842 321 000;
369;МАЙКРОСОФТ РУС, ООО;1047796372711;MAIKROSOFT RUS, OOO;"ООО ""МАЙКРОСОФТ РУС""";26.05.2004;18,5;7743528989;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;588;500;438;392;382;"""left""";9 246 070 000;7 970 873 000;6 929 376 000;6 548 275 000;6 897 031 000;1 575 714 000;828 053 000;823 737 000;763 631 000;859 203 000
370;МАКИТА, ООО;1037718043241;MAKITA, OOO;"ООО ""МАКИТА""";18.09.2003;19,5;7718254597;Торговля оптовая ручными инструментами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;132;131;141;;158;"""left""";8 146 280 000;11 391 505 000;12 996 929 000;16 330 167 000;;876 224 000;786 034 000;1 290 856 000;701 790 000;
371;МАКСАМ РУСИЯ, ООО;1077746339010;MAKSAM RUSIYA, OOO;"ООО ""МАКСАМ РУСИЯ""";13.02.2007;16,0;7701704946;Деятельность по управлению финансово-промышленными группами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;18;19;18;16;17;"""left""";118 345 000;131 578 000;146 730 000;121 377 000;123 788 000;287 000;180 000;10 171 000;11 609 000;1 768 000
372;МАКСОЛЛ, ООО;1217800100330;MAXXOLL, LLC;"ООО ""МАКСОЛЛ""";25.06.2021;1,5;7840096879;Исследование конъюнктуры рынка и изучение общественного мнения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;;;;;;;"""left""";;;;;;;;;;-1 989 000
373;МАЛОНЭ, АО;1221800012422;MALONE, JSC;"АО ""МАЛОНЭ""";06.07.2022;0,5;1832164355;Торговля розничная по почте или по информационно-коммуникационной сети Интернет;Непубличные акционерные общества;Частная собственность;;;;;;;"""left""";;;;;;;;;;
374;МАН, ООО;1037739178454;MAN, OOO;"ООО ""МАН""";13.03.1992;31,0;7735026456;Деятельность в области архитектуры;Общества с ограниченной ответственностью;Частная собственность;;1;1;1;1;1;"""left""";;;;;;;;;;
375;МАНГО, ООО;5087746675484;MANGO, OOO;"ООО ""МАНГО""";26.12.2008;14,0;7735546751;Прочие виды полиграфической деятельности;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;5;3;2;1;1;"""left""";4 591 000;3 373 000;6 862 000;2 250 000;1 927 000;222 000;-141 000;-336 000;24 000;328 000
376;МАНИТОВОК КРЭЙН ГРУП СНГ, ООО;1027739177597;MANITOVOK KREIN GRUP SNG, OOO;"ООО ""МАНИТОВОК КРЭЙН ГРУП СНГ""";30.05.2002;20,5;7720265853;Торговля оптовая прочими машинами и оборудованием;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;19;19;18;17;18;"""left""";1 237 573 000;1 285 684 000;1 256 424 000;2 051 231 000;1 961 182 000;68 836 000;198 679 000;79 882 000;441 218 000;-30 572 000
377;МАОО АШФ;1027739267973;MAOO ASHF;МАОО АШФ;22.06.1992;30,5;7704051678;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;Союзы (ассоциации) общественных объединений;Собственность общественных объединений;Микропредприятия;0 - 5;;;;;"""left""";15 265 000;11 741 000;11 851 000;13 783 000;;217 000;46 000;1 249 000;982 000;118 000
378;МАРРИОТТ, ООО;1151832026554;MARRIOTT, OOO;"ООО ""МАРРИОТТ""";21.12.2015;7,0;1839008228;Деятельность гостиниц и прочих мест для временного проживания;Общества с ограниченной ответственностью;Частная собственность;;;;1;;;"""left""";;;;;;;;;;
379;МАРС, ООО;1117746055151;MARS, OOO;"ООО ""МАРС""";31.01.2011;12,0;7731664680;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Частная собственность;;1;1;1;1;1;"""left""";;;;;;;;;;
380;МАРУБЕНИ РАББЕР РУС, ООО;5187746017113;MARUBENI RABBER RUS, OOO;"ООО ""МАРУБЕНИ РАББЕР РУС""";20.12.2018;4,0;7703468839;Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;;;9;12;14;"""left""";;;471 880 000;1 301 346 000;2 726 743 000;;;-13 467 000;64 275 000;195 919 000
381;МАСТЕРКАРД ООО;1107746323926;MASTERKARD OOO;"""МАСТЕРКАРД"" ООО";26.04.2010;12,5;7707724547;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;28;;;;;"""left""";5 878 267 000;8 315 411 000;10 924 284 000;15 742 307 000;23 609 954 000;2 359 134 000;3 840 169 000;3 469 652 000;8 332 602 000;9 352 838 000
382;МАТТЕЛ, ООО;1097746143109;MATTEL, OOO;"ООО ""МАТТЕЛ""";13.03.2009;14,0;7710747833;Торговля оптовая играми и игрушками;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;52;47;46;49;49;"""left""";5 743 834 000;6 428 379 000;6 275 449 000;6 288 054 000;7 325 174 000;2 600 134 000;1 713 980 000;1 145 706 000;655 918 000;819 900 000
383;МАЭРСК, ООО;1147847401921;MAERSK, OOO;"ООО ""МАЭРСК""";02.10.1995;27,5;7839505397;Деятельность вспомогательная прочая, связанная с перевозками;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;251;258;256;246;245;"""left""";687 069 000;723 231 000;794 302 000;728 336 000;;9 568 000;15 715 000;10 079 000;16 323 000;
384;МВ ГРУПП, ООО;1227700548570;MV GROUP, LLC;"ООО ""МВ ГРУПП""";05.09.2022;0,5;9710102564;Торговля оптовая парфюмерными и косметическими товарами;Общества с ограниченной ответственностью;Частная собственность;;;;;;;"""left""";;;;;;;;;;
385;МЕГОГО, ООО;1127746436311;MEGOGO, OOO;"ООО ""МЕГОГО""";04.06.2012;10,5;7703769593;Деятельность рекламных агентств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;28;39;53;60;69;"""left""";984 078 000;1 397 363 000;2 069 645 000;2 318 901 000;3 403 654 000;77 584 000;76 139 000;70 973 000;-2 924 000;342 255 000
386;МЕДИЦИНСКИЙ СЕРВИСНЫЙ ЦЕНТР, ООО;1116316004067;MEDITSINSKI SERVISNY TSENTR, OOO;"ООО ""МЕДИЦИНСКИЙ СЕРВИСНЫЙ ЦЕНТР""";07.06.2011;11,5;6316164729;Аренда и лизинг приборов, аппаратов и прочего оборудования, применяемого в медицинских целях;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;9;7;7;6;6;"""left""";76 997 000;100 017 000;123 579 000;125 489 000;127 232 000;6 659 000;4 647 000;10 216 000;49 590 000;34 234 000
387;МЕЖГОСМЕТИЗ-МЦЕНСК, АО;1025700525388;MEZHGOSMETIZ-MTSENSK, AO;"АО ""МЕЖГОСМЕТИЗ-МЦЕНСК""";15.10.1992;30,5;5703000684;Производство изделий из проволоки, цепей и пружин;Непубличные акционерные общества;Собственность иностранных юридических лиц;Средние предприятия;154;158;132;138;190;"""Для ЛС"", ""left"", ""для ЛС по сделкам"", ""ИНН робо"", ""РОБОТОТЕХНИКА""";;1 062 378 000;966 411 000;1 098 332 000;1 776 487 000;;79 236 000;41 292 000;120 933 000;150 623 000
388;МЕРК ЛАЙФ САЙНС, ООО;1057748494484;MERCK LIFE SCIENCE, LLC;"ООО ""МЕРК ЛАЙФ САЙНС""";06.10.2005;17,5;7701620453;Деятельность предпринимательских членских некоммерческих организаций;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;15;15;16;15;23;"""left""";502 171 000;780 527 000;831 842 000;1 349 847 000;1 831 439 000;102 374 000;91 240 000;54 501 000;306 309 000;346 203 000
389;МЕРСЕДЕС-БЕНЦ РУС, АО;1027700258530;MERSEDES-BENTS RUS, AO;"АО ""МЕРСЕДЕС-БЕНЦ РУС""";01.08.1994;28,5;7707016368;Торговля автотранспортными средствами;Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 286;1 256;1 160;;"""left"", ""Авто_Москва""";166 298 106 000;176 208 656 000;183 244 994 000;191 804 454 000;274 804 142 000;-969 524 000;1 864 712 000;1 045 319 000;6 832 708 000;12 459 980 000
390;МЕТА, ООО;1037835025458;META, OOO;"ООО ""МЕТА""";21.02.2003;20,0;7816220300;Ремонт компьютеров и периферийного компьютерного оборудования;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;7;6;6;7;7;"""left""";;;21 418 000;23 232 000;18 254 000;;;451 000;472 000;900 000
391;МЕТРО КЭШ ЭНД КЕРРИ, ООО;1027700272148;METRO KESH END KERRI, OOO;"ООО ""МЕТРО КЭШ ЭНД КЕРРИ""";20.10.2000;22,0;7704218694;Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;> 5 000;> 5 000;;;;"""left""";231 629 025 000;217 398 003 000;208 024 447 000;224 014 751 000;221 198 625 000;6 330 273 000;7 195 481 000;7 295 931 000;17 889 320 000;16 433 669 000
392;МЕТСО ОУТОТЕК, ООО;1157847062009;METSO OUTOTEC, LLC;"ООО ""МЕТСО ОУТОТЕК""";26.02.2015;8,0;7810339041;Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;101 - 150;129;134;126;238;"""left""";3 669 515 000;4 839 033 000;8 327 999 000;7 250 890 000;8 878 495 000;19 759 000;294 946 000;1 002 011 000;1 021 702 000;56 738 000
393;МЕТТЛЕР-ТОЛЕДО ВОСТОК, АО;1027700278110;METTLER-TOLEDO VOSTOK, AO;"АО ""МЕТТЛЕР-ТОЛЕДО ВОСТОК""";11.12.1996;26,0;7705125499;"Производство точных весов; производство ручных инструментов для черчения, разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров, не включенных в другие группировки";Непубличные акционерные общества;Собственность иностранных юридических лиц;Крупные предприятия;120;128;136;145;147;"""Сервисы"", ""left""";1 516 348 000;1 882 516 000;1 866 688 000;2 211 177 000;2 684 298 000;218 776 000;444 417 000;192 348 000;503 307 000;534 458 000
