№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
234;ЗАББИКС, ООО;1187746731094;ZABBIKS, OOO;"ООО ""ЗАББИКС""";07.08.2018;4,5;7730245790;Разработка компьютерного программного обеспечения;Общества с ограниченной ответственностью;Смешанная иностранная собственность;Микропредприятия;;1;3;7;11;"""left""";;;23 527 000;35 802 000;82 540 000;;;13 755 000;21 748 000;27 764 000
235;ЗАДАРМА, ООО;1172724006400;ZADARMA, OOO;"ООО ""ЗАДАРМА""";09.03.2017;6,0;2723193333;Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;10;67;106;186;218;"""left""";156 781 000;1 391 474 000;1 734 105 000;1 737 217 000;1 862 975 000;-9 427 000;4 636 000;36 465 000;128 767 000;55 605 000
236;ЗАНАМ ВОСТОК, ООО;1165658057168;ZANAM VOSTOK, OOO;ООО ЗАНАМ ВОСТОК;15.03.2016;7,0;5604032491;Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;4;4;4;4;4;"""left""";46 388 000;31 591 000;38 640 000;99 977 000;128 712 000;5 032 000;4 597 000;3 394 000;6 257 000;11 407 000
237;ЗАПОВЕДНАЯ АЛАНИЯ, ООО;1211500001833;RESERVED ALANYA, LLC;"ООО ""ЗАПОВЕДНАЯ АЛАНИЯ""";19.04.2021;1,5;1514018103;Деятельность туристических агентств;Общества с ограниченной ответственностью;Частная собственность;;;;;;1;"""left""";;;;;;;;;;
238;ЗАРА, ООО;1097746387738;ZARA, OOO;"ООО ""ЗАРА""";06.07.2009;13,5;7704729561;Деятельность в области исполнительских искусств;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;4;4;5;3;1;"""left""";25 225 000;22 407 000;31 504 000;8 699 000;;228 000;12 203 000;22 104 000;-1 232 000;-1 422 000
239;ЗАРПЛАТА.РУ, ООО;1147746526817;ZARPLATA.RU, OOO;"ООО ""ЗАРПЛАТА.РУ""";07.05.2014;8,5;7730706401;Деятельность по созданию и использованию баз данных и информационных ресурсов;Общества с ограниченной ответственностью;Частная собственность;Средние предприятия;121;200;231;;244;"""Для ЛС"", ""left"", ""для ЛС по сделкам""";503 870 000;687 012 000;857 898 000;779 142 000;956 835 000;174 092 000;62 778 000;-749 054 000;-104 995 000;170 694 000
240;ЗОЭТИС, ООО;1067746220156;ZOETIS, OOO;"ООО ""ЗОЭТИС""";02.02.2006;17,0;7709657102;Торговля оптовая фармацевтической продукцией;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;64;68;68;65;73;"""left""";;3 162 808 000;3 924 508 000;5 512 246 000;6 389 745 000;;66 956 000;-60 116 000;500 901 000;-51 722 000
241;ЗУЛЬЦЕР ХЕМТЕХ, ООО;1075043004101;ZULTSER KHEMTEKH, OOO;"ООО ""ЗУЛЬЦЕР ХЕМТЕХ""";13.12.2007;15,0;5043032704;Производство промышленного холодильного и вентиляционного оборудования;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Средние предприятия;101;120;130;138;139;"""Сервисы"", ""left""";679 206 000;1 106 128 000;1 399 740 000;1 335 311 000;1 748 829 000;-11 687 000;-53 309 000;-17 582 000;-15 762 000;27 780 000
242;ИБЕРИЯ, ООО;1212500011680;IBERIA, LLC;"ООО ""ИБЕРИЯ""";19.05.2021;1,5;2536327964;Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;2;"""left""";;;;;68 475 000;;;;;6 457 000
243;ИБМ ВЕА, ООО;1027739004600;IBM VEA, OOO;"ООО ""ИБМ ВЕА""";01.02.1996;27,0;7705041866;Деятельность консультативная и работы в области компьютерных технологий;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""left""";10 927 296 000;10 252 215 000;10 817 355 000;11 687 764 000;10 512 161 000;3 423 188 000;3 914 763 000;3 577 236 000;4 755 435 000;3 849 770 000
244;ИБЭЙ РУ, ООО;1127746684152;EBAY RU, LLC;"ООО ""ИБЭЙ РУ""";31.08.2012;10,5;7710919842;Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Малые предприятия;10;11;11;11;12;"""left""";235 431 000;235 546 000;246 132 000;236 658 000;248 339 000;9 891 000;11 757 000;14 799 000;13 559 000;14 943 000
245;ИВ РОШЕ ВОСТОК, ООО;1027739896975;IV ROSHE VOSTOK, OOO;"ООО ""ИВ РОШЕ ВОСТОК""";19.11.1996;26,0;7710217064;Торговля оптовая парфюмерными и косметическими товарами;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;501 - 1 000;667;669;640;539;"""left""";;8 535 347 000;8 358 676 000;6 867 948 000;7 258 540 000;;83 577 000;180 745 000;-78 281 000;-143 029 000
246;ИВА, АССОЦИАЦИЯ;1037739631808;IVA, ASSOTSIATSIYA;"АССОЦИАЦИЯ ""ИВА""";02.11.2000;22,0;7702305711;Консультирование по вопросам коммерческой деятельности и управления;Объединения юридических лиц;Частная собственность;Микропредприятия;;;;;;"""left""";14 863 000;23 402 000;23 493 000;13 131 000;16 778 000;7 861 000;16 317 000;11 480 000;12 909 000;10 724 000
