,Name,Action
295,Deloitte,приостановила работу
296,PwC,приостановила работу
297,EY,приостановила работу
298,Knight Frank,приостановила транзакции
299,Bonava,приостановила работу
300,Models.com,приостановила сотрудничество
301,Priority Pass,приостановила работу
302,Lounge Key,приостановила работу
303,OneWeb,приостановила все запуски с Байконура
304,Cisco,приостановила деятельность
305,Cogent,отключила российских операторов от своих сетей
306,Lumen,приостановила работу
307,FedEx,приостановила все поставки
308,UPS,приостановила все поставки
309,DHL,приостановила некоторые рейсы
310,Cyprus Post,прекратила оказывать почтовые услуги россиянам
311,Maersk,приостановила приём заказов на перевозку контейнеров
312,CMA CGM,приостановила приём заказов
313,MSC,приостановила приём заказов
314,Shipco,приостановила приём заказов
315,Hapag-Lloyd,приостановила приём заказов
316,Oсean Network Express,приостановила приём заказов
317,Yang Ming,приостановила приём заказов
318,HMM,приостановила доставку по двум маршрутам
319,«Волга-Днепр»,"приостановила работу, в компанию входят «Атран» и AirBridgeCargo"
320,Sephora,приостановила работу
321,L’Oreal,"приостановила работу магазинов; в компанию входят Lancôme, Giorgio Armani Beauty, Biotherm, Kiehl’s, Ralph Lauren, Shu Uemura, Cacharel, Helena Rubinstein, Viktor&Rolf, Maison Martin Margiela, Urban Decay, Garnier, Maybelline NY, Essie, NYX Professional Makeup, Matrix, Vichy, La Roche-Posay, SkinCeuticals"
322,CeraVe,приостановила работу
323,Estee Lauder,"приостановила работу, в компанию входят Clinique, MAC Cosmetics, Tom Ford Beauty, DKNY Fragrances, Jo Malone London, Tory Burch Beauty"
324,Иль де Ботэ,приостановила работу
325,Shiseido,приостановила поставки и инвестиции
326,Swarovski,приостановила продажи
327,Cartier,приостановила деятельность
328,Swatch,приостановила продажи
329,Rolex,приостановила продажи
330,Velkopopovicky Kozel,приостановила поставки
331,Pilsner Urquell,приостановила поставки
332,Gambrinus,приостановила поставки
333,Staropramen,приостановила поставки
334,Budweiser Budvar,приостановила поставки
335,Bernard,приостановила поставки
336,Diageo,"приостановила поставки, в компанию входят Guinness, Johnnie Walker, Smirnoff, Baileys, Captain Morgan"
337,Pernod Ricard,"приостановила поставки, в компанию входят Chivas Regal, Jameson, Ballantine’s, Absolut, Olmeca, Havana Club"
338,Fazer,приостановила поставки
339,Carlsberg,приостановила инвестиции и отгрузку в «Балтику»
340,Valio,приостановила работу
341,Paulig,приостановила работу
342,Coca-Cola,приостановила рекламу
343,Heineken,приостановила производство и продажи
344,Brown-Forman,"приостановила деятельность, в компанию входят Jack Daniel’s, Finlandia"
345,Mondelez,приостановила инвестиции и рекламу
346,Lindt,приостановила поставки
347,Nestle,"приостановила инвестиции и рекламу, приостановила поставки Nespresso и S.Pellegrino"
348,Danone,приостановила инвестиции
349,Mars,"приостановила инвестиции, рекламу и поставки, в компанию входят Snickers, Twix, Bounty, Milky Way, M&M’s, Orbit, Dolmio"
350,"Jägermeister — компания по изготовлению ликера, приостановила поставки в Россию, но Дистрибьюторы ищут пути доставок в Россию.",-
